Brand ID,Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,Wholesale Promo Discount Percentage,Badge List,Brand Token,brand
b_fg3z6jazys,Air Purifier,MA-15 Air Purifier,False,p_9zzsnxfgg7,FOR_SALE,98.99,74.24,0,,b_fg3z6jazys,Medify Air
b_fg3z6jazys,Air Purifier,MA-40 Air Purifier,False,p_zh8u8fdpv4,FOR_SALE,249.99,187.49,0,,b_fg3z6jazys,Medify Air
b_fg3z6jazys,Air Purifier,MA-50 Air Purifier V3.0,False,p_5puxru4tbe,FOR_SALE,299.99,224.99,0,,b_fg3z6jazys,Medify Air
b_fg3z6jazys,Air Purifier,MA-112 Air Purifier,False,p_8yyx3nhw29,FOR_SALE,594.99,446.24,0,,b_fg3z6jazys,Medify Air
b_fg3z6jazys,Air Purifier,MA-125 Air Purifier,False,p_7yjjxvv4v3,FOR_SALE,398.99,299.24,0,,b_fg3z6jazys,Medify Air
b_3xn9lbhjtz,Air Purifier,Miko Air Purifier with Essential Oil // Ibuki,False,p_874lp6jn74,FOR_SALE,119.0,42.0,0,,b_3xn9lbhjtz,Miko
b_3xn9lbhjtz,Air Purifier,Miko Smart Sensor Air Purifier - Ibuki,False,p_dd66gp7da6,FOR_SALE,199.0,108.0,0,,b_3xn9lbhjtz,Miko
b_djiecxc4rm,Air Purifier,Air Purifier with Hepa & Uvc Light - Up To 250 Sq. ft.,False,p_jfvbdcmb64,FOR_SALE,109.99,70.0,0,,b_djiecxc4rm,Crane Baby
b_djiecxc4rm,Air Purifier,Air Purifier with Hepa & Uvc Light - Up To 500 Sq. ft.,False,p_u7ebm9vukb,FOR_SALE,189.99,121.0,0,,b_djiecxc4rm,Crane Baby
b_djiecxc4rm,Air Purifier,Air Purifier with Hepa & Uvc Light - Up To 300 Sq. ft.,False,p_jexwdxxrd4,FOR_SALE,149.99,90.0,0,,b_djiecxc4rm,Crane Baby
b_djiecxc4rm,Air Purifier,"Air Purifier with Hepa, For Small Rooms",False,p_tecvhtyh3e,FOR_SALE,79.99,50.0,0,,b_djiecxc4rm,Crane Baby
b_djiecxc4rm,Air Purifier,2-in-1 Desk Top Air Purifier & Fan - with Hepa & Uvc Light,False,p_c95dxnae6e,FOR_SALE,59.99,34.5,0,,b_djiecxc4rm,Crane Baby
b_dhfumavqwu,Air Purifier,"Puro²Xygen P500 True Hepa Air Purifier, Wifi Control Via App",False,p_zu8pyd3439,FOR_SALE,299.97,189.97,0,,b_dhfumavqwu,Productech
b_dhfumavqwu,Air Purifier,Puro²Xygen P500 - True Hepa Air Purifier,False,p_n4jvgbnm5j,FOR_SALE,299.97,169.97,0,,b_dhfumavqwu,Productech
b_dhfumavqwu,Air Purifier,Turonic PH950-Hepa Airpurifier For Home W/Humidifier Renewed,False,p_c72r4wxcgr,FOR_SALE,599.98,299.99,0,,b_dhfumavqwu,Productech
b_dhfumavqwu,Air Purifier,"Turonic PH950 - Hepa Air Purifiers For Home W/Humidifier, Uv",False,p_kej68eb7vp,FOR_SALE,529.97,389.97,0,,b_dhfumavqwu,Productech
b_dhfumavqwu,Air Purifier,Puro²Xygen 4-in-1 High-Efficiency Replacement Filter,False,p_dbwdu292xx,FOR_SALE,81.94,40.97,0,,b_dhfumavqwu,Productech
b_dhfumavqwu,Air Purifier,Puro²Xygen 4-in-1 High-Efficiency Replacement Filter,False,p_8d66tb8kgu,FOR_SALE,81.94,40.97,0,,b_dhfumavqwu,Productech
b_dhfumavqwu,Air Purifier,Turonic Original Water Filter For Humidifier Air Purifier,False,p_2mwuumdgev,FOR_SALE,33.94,16.97,0,,b_dhfumavqwu,Productech
b_dhfumavqwu,Air Purifier,Original Water Filter For Air Purifier Combo Turonic PH950,False,p_6a2qr5avsv,FOR_SALE,33.94,16.97,0,,b_dhfumavqwu,Productech
b_dhfumavqwu,Air Purifier,P500_F2 Universal Replacement Filter,True,p_gscj385gaj,FOR_SALE,81.94,40.97,0,NEW_BADGE,b_dhfumavqwu,Productech
b_8oha6mvmbw,Air Purifier,Multipurpose Portable Ozone Generator For Air and Water,False,p_f8k65qhk9a,FOR_SALE,49.99,39.99,0,,b_8oha6mvmbw,Ivation
b_8oha6mvmbw,Air Purifier,"5-in-1 Air Purifier & Ozone Generator For Up To 3,500 Sq/ft",False,p_37myy7sz9f,FOR_SALE,149.99,119.99,0,,b_8oha6mvmbw,Ivation
b_8oha6mvmbw,Air Purifier,"Portable Ozone Generator, 600mg/h Ozone Air Purifier",False,p_3cmk7rctps,FOR_SALE,49.99,39.99,0,,b_8oha6mvmbw,Ivation
b_8oha6mvmbw,Air Purifier,"Portable Battery Powered Camping Shower Showerhead, Gray",False,p_5h6e2ansf4,FOR_SALE,36.99,29.59,0,,b_8oha6mvmbw,Ivation
b_8oha6mvmbw,Air Purifier,"5-in-1 Hepa Air Purifier & Ozone Generator - 3,700 Sq/ft",False,p_y89nz47fgu,FOR_SALE,179.99,143.99,0,,b_8oha6mvmbw,Ivation
b_8oha6mvmbw,Air Purifier,"Tru Hepa Filter Replacement For IVAOZAP04, 5-in-1 Hepa Air P",False,p_v8j247yz49,FOR_SALE,19.99,14.99,0,,b_8oha6mvmbw,Ivation
b_8oha6mvmbw,Air Purifier,5-in-1 Hepa Air Purifier & Ozone Generator with Display,False,p_dxgvmw4zgp,FOR_SALE,179.99,143.99,0,,b_8oha6mvmbw,Ivation
b_8oha6mvmbw,Air Purifier,Replacement Photocatalytic Filter For Ivadgozhepa,False,p_p79mxugkfs,FOR_SALE,14.99,11.24,0,,b_8oha6mvmbw,Ivation
b_8oha6mvmbw,Air Purifier,Replacement Hepa Filter For Ivadgozhepa Air Purifier,False,p_cztkvw2agj,FOR_SALE,19.99,14.99,0,,b_8oha6mvmbw,Ivation
