brand_id,categories,type_search,brand_owner
b_c5ad8a80,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_c5ad8a80,Screen Printed T-Shirts|Graphic T-Shirts,filter,Boredwalk
b_nkdjeshhud,Screen Printed T-Shirts|Graphic T-Shirts,filter,Boredwalk
b_e509rwcu,Screen Printed T-Shirts|Graphic T-Shirts,filter,Boredwalk
b_3um1o2nng0,Screen Printed T-Shirts|Graphic T-Shirts,filter,Boredwalk
b_2fbf738jrd,Screen Printed T-Shirts|Graphic T-Shirts,filter,Boredwalk
b_c9wh61ek4q,Screen Printed T-Shirts|Graphic T-Shirts,filter,Boredwalk
b_1xd9ogml,Screen Printed T-Shirts|Graphic T-Shirts,filter,Boredwalk
b_1fde63bb,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_8nl82cwgil,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_e500ab48,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_5sdyzc06fd,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_6usanratk0,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_bbhyb30wja,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_elwnrzazbf,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_5234b7da,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_beawmxuvtn,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_25hcfkuxqg,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_48n2knwtup,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_19ve7j7a7y,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_9v1ajbig,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_ustu6pbp75,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_3e402cd2,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_7ghx5bab,Conversation cards|Journals|Adult coloring books,query,Boredwalk
b_849n5pbfjm,Hair Brush & Comb,filter,Glimmer Wish
b_36lz1wnkyu,Hair Leave-In Conditioner,filter,Glimmer Wish
b_wwuty2ts97,Hair Leave-In Conditioner,filter,Glimmer Wish
b_3jxtednxl5,Hair Brush & Comb,filter,Glimmer Wish
b_4zo2hqpuvy,Hair Brush & Comb,filter,Glimmer Wish
b_bya786doke,Hair Brush & Comb,filter,Glimmer Wish
b_vsxe65ezpv,Hair Brush & Comb|Hair Spray,filter,Glimmer Wish
b_6x9m3b16h8,Throw Blanket,filter,Trek Light
b_71w1zgur,Throw Blanket,filter,Trek Light
b_e229541b,Throw Blanket,filter,Trek Light
b_b7b557f3,Throw Blanket,filter,Trek Light
b_12yycy8tsl,Throw Blanket,filter,Trek Light
b_9ephgriyjm,Throw Blanket,filter,Trek Light
b_3s59sma6,Throw Blanket,filter,Trek Light
b_vllag6pj,Throw Blanket,filter,Trek Light
b_cad0ccd3,Tablecloth,filter,Couleur Nature
b_cad0ccd3,Dinner & Cloth Napkins,filter,Couleur Nature
b_cad0ccd3,Tea Towel,filter,Couleur Nature
b_cad0ccd3,Table Runner,filter,Couleur Nature
b_cad0ccd3,Outdoor Tablecloth,filter,Couleur Nature
b_dc927665,Tablecloth,filter,Couleur Nature
b_dc927665,Dinner & Cloth Napkins,filter,Couleur Nature
b_dc927665,Tea Towel,filter,Couleur Nature
b_dc927665,Table Runner,filter,Couleur Nature
b_dc927665,Outdoor Tablecloth,filter,Couleur Nature
b_dc3e5d20,Tablecloth,filter,Couleur Nature
b_dc3e5d20,Dinner & Cloth Napkins,filter,Couleur Nature
b_dc3e5d20,Tea Towel,filter,Couleur Nature
b_dc3e5d20,Table Runner,filter,Couleur Nature
b_dc3e5d20,Outdoor Tablecloth,filter,Couleur Nature
b_490d935e,Tablecloth,filter,Couleur Nature
b_490d935e,Dinner & Cloth Napkins,filter,Couleur Nature
b_490d935e,Tea Towel,filter,Couleur Nature
b_490d935e,Table Runner,filter,Couleur Nature
b_490d935e,Outdoor Tablecloth,filter,Couleur Nature
b_6silsri8xd,Tablecloth,filter,Couleur Nature
b_6silsri8xd,Dinner & Cloth Napkins,filter,Couleur Nature
b_6silsri8xd,Tea Towel,filter,Couleur Nature
b_6silsri8xd,Table Runner,filter,Couleur Nature
b_6silsri8xd,Outdoor Tablecloth,filter,Couleur Nature
b_e6gi5qy7n8,Swaddling & Receiving Blankets,filter,Little Hometown
b_e6gi5qy7n8,Burp Cloth,filter,Little Hometown
b_e6gi5qy7n8,Sleepwear Sets,filter,Little Hometown
b_2mjydukmqy,Swaddling & Receiving Blankets,filter,Little Hometown
b_2mjydukmqy,Burp Cloth,filter,Little Hometown
b_2mjydukmqy,Sleepwear Sets,filter,Little Hometown
b_awf1h1ea9q,Swaddling & Receiving Blankets,filter,Little Hometown
b_awf1h1ea9q,Burp Cloth,filter,Little Hometown
b_awf1h1ea9q,Sleepwear Sets,filter,Little Hometown
b_9jerpv7qt3,Swaddling & Receiving Blankets,filter,Little Hometown
b_9jerpv7qt3,Burp Cloth,filter,Little Hometown
b_9jerpv7qt3,Sleepwear Sets,filter,Little Hometown
b_cthcrk96df,Swaddling & Receiving Blankets,filter,Little Hometown
b_cthcrk96df,Burp Cloth,filter,Little Hometown
b_cthcrk96df,Sleepwear Sets,filter,Little Hometown
b_4vbanx86sk,Swaddling & Receiving Blankets,filter,Little Hometown
b_4vbanx86sk,Burp Cloth,filter,Little Hometown
b_4vbanx86sk,Sleepwear Sets,filter,Little Hometown
b_f65wemh3b7,Toothpaste,filter,Be Huppy
b_75oau17b7z,Toothpaste,query,Be Huppy
b_3yerfaqmmt,Toothpaste,filter,Be Huppy
b_f4mzkim3xp,Toothpaste,filter,Be Huppy
b_abhrl41d48,Toothpaste,filter,Be Huppy
b_2j1b52vu,Bath Bomb & Fizz,filter,Grab2art
b_2vgr3yu7bj,Bath Bomb & Fizz,filter,Grab2art
b_9defb7f0,Bath Bomb & Fizz,filter,Grab2art
b_c0co3r5w,Bath Bomb & Fizz,filter,Grab2art
b_ux32ftf2cf,Bath Bomb & Fizz,filter,Grab2art
b_2dvofcgxz7,Cheese,filter,Cheese Brothers
b_2s38nc2eu2,Cheese,filter,Cheese Brothers
b_fkwxp7wtvp,Cheese,filter,Cheese Brothers
b_g27crjhuyr,Cheese,filter,Cheese Brothers
b_8nw6nb2xkq,Cheese,filter,Cheese Brothers
b_dljmfs9o,Hair Claws & Clips,filter,Teleties
b_12tpkawx,Hair Claws & Clips,filter,Teleties
b_jcn5s8r6ur,Hair Claws & Clips,filter,Teleties
b_2fgt3byexw,Hair Claws & Clips,filter,Teleties
b_8c38xgktp7,Hair Claws & Clips,filter,Teleties
b_ed3xtxpzr5,Hair Claws & Clips,filter,Teleties
b_t9cgnd5aay,Bidet,query,Tushy
b_4v8qx6hqsb,Bidet,query,Tushy
b_4v6l6ww3o7,Bidet,query,Tushy
b_fg3z6jazys,Air purifier,query,Medify
b_3xn9lbhjtz,Air purifier,query,Medify
b_djiecxc4rm,Air purifier,query,Medify
b_dhfumavqwu,Air purifier,query,Medify
b_8oha6mvmbw,Air purifier,query,Medify
b_arceup81f2,Crossbody Bags,filter,Latico Leathers
b_6dyd8buw9c,Crossbody Bags,filter,Latico Leathers
b_40j19ly1ct,Crossbody Bags,filter,Latico Leathers
b_b2pjelg0sv,Crossbody Bags,filter,Latico Leathers
b_aikxxfpecb,Crossbody Bags,filter,Latico Leathers
b_8btzh8m7qg,Vitamins & Supplements,filter,Future Kind
b_ewdnueckng,Vitamins & Supplements,filter,Future Kind
b_exzytqe2e5,Vitamins & Supplements,filter,Future Kind
b_daeyv9q8xk,Vitamins & Supplements,query,Future Kind
b_67ybdwa8yr,Vitamins & Supplements,query,Future Kind
b_ekmpt42pxp,Pants,filter,Jack Archer
b_jen7mzd82u,Pants,filter,Jack Archer
b_9afflkuuld,Pants,filter,Jack Archer
b_2kk7iu1p7a,Pants,filter,Jack Archer
b_8dsucv84,Pants men,query,Jack Archer
b_1c6eqlam,Art Prints,filter,Dolan Geiman
b_16o7r3v1y0,Art Prints,filter,Dolan Geiman
b_bvsdvpi0,Art Prints,filter,Dolan Geiman
b_287hnpmuoj,Art Prints,filter,Dolan Geiman
b_w3gq5yaatc,Art Prints,filter,Dolan Geiman
b_aqaeteuq89,Solid Shampoo,filter,Viori
b_wkanh686mb,Solid Shampoo,filter,Viori
b_dljmfs9o,Solid Shampoo,filter,Viori
b_bruvtyx6ew,Solid Shampoo,filter,Viori
b_8cyumi6ou0,Solid Shampoo,filter,Viori
b_abnh48rfz1,Quilts,filter,Levtex Home
b_c0omc5pc,Quilts,filter,Levtex Home
b_4xmu1jps,Quilts,filter,Levtex Home
b_fe599f01,Quilts,filter,Levtex Home
b_2cj1776q,Quilts,filter,Levtex Home
b_2515o2h857,Quilts,filter,Levtex Home